,HepG2_xenograft_CTL_1,HepG2_xenograft_CTL_2,HepG2_xenograft_CTL_3,HepG2_xenograft_CTL_4,HepG2_xenograft_CTL_5,HepG2_xenograft_DKD_1,HepG2_xenograft_DKD_2,HepG2_xenograft_DKD_3,HepG2_xenograft_DKD_4,HepG2_xenograft_DKD_5
TRIB2,9.732597268,4.048097035,9.32441195,10.34873466,11.22579766,3.983367211,11.50902013,0.968792131,4.951851744,4.815928023
TRIB3,5134.918318,8197.396496,5156.399808,5933.964456,4856.688278,7620.181474,4552.776546,5683.903432,5703.542839,5918.77554
TRIL,25.3047529,22.26453369,17.61277813,19.66259586,26.53370355,51.78377374,60.42235568,62.97148851,48.5281471,47.19609463
TRIM10,418.5016825,404.8097035,376.0846153,488.4602761,416.3750404,419.2493989,400.8975345,422.3933691,438.7340646,414.16981
TRIM11,982.992324,831.8839407,1024.649269,757.5273773,840.9142973,815.5944364,1018.548281,900.0078896,902.2273878,924.6581804
TRIM13,1306.114553,1396.593477,1357.219962,1259.441008,1405.265761,1334.428016,1542.208697,1358.246568,1376.614785,1473.673975
TRIM14,1803.450274,1689.068488,1596.546535,1872.0861,1850.215559,2523.463128,2393.876187,2509.171619,2386.792541,2145.977527
TRIM15,781.5275606,773.1865337,742.8448187,818.5849118,781.7237278,848.4572159,920.7216103,890.3199683,941.8422018,930.437294
TRIM16,851.6022609,959.3989973,945.90979,906.5491564,899.0843397,859.4114757,720.2728431,726.5940982,739.8066506,823.5236919
TRIM16L,512.907876,409.8698248,480.7252383,491.5648965,473.5245557,458.0872292,336.6388388,347.796375,333.7548076,367.936901
TRIM17,0,0,0,0,0,0,0,0,0,0
TRIM2,675.4422504,753.9580728,803.9715192,862.0495974,1002.157573,630.3678611,888.1127199,855.4434516,604.1259128,648.2239119
TRIM21,144.0424396,182.1643666,176.1277813,137.638171,212.2696284,214.1059876,171.6762169,124.0053928,193.122218,151.2201399
TRIM22,146.9622187,103.2264744,159.5510489,124.184816,148.9969507,156.347163,154.4126867,149.1939882,160.4399965,121.3613862
